time,a_x,a_y,a_z
204643676.4339139,3.199671616883766e-06,-2.0083014339351717e-06,-2.366841750417373e-08
204686876.4339139,3.211030801979387e-06,-1.9883820018597246e-06,-2.3731351904183347e-08
204730076.4339139,3.222265087360671e-06,-1.968403898894931e-06,-2.3794028803263704e-08
204773276.4339139,3.2333742350604e-06,-1.9483679102939794e-06,-2.385644637458031e-08
204816476.4339139,3.244358011986807e-06,-1.9282748214163767e-06,-2.3918602804470408e-08
204859676.4339139,3.255216189909194e-06,-1.908125417699521e-06,-2.3980496292441993e-08
204902876.4339139,3.2659485454433978e-06,-1.8879204846305133e-06,-2.4042125051171915e-08
204946076.4339139,3.2765548600371456e-06,-1.8676608077182299e-06,-2.4103487306503402e-08
204989276.4339139,3.2870349199552784e-06,-1.8473471724656433e-06,-2.4164581297442777e-08
205032476.4339139,3.297388516264865e-06,-1.826980364342397e-06,-2.4225405276155545e-08
205075676.4339139,3.3076154448202e-06,-1.8065611687576345e-06,-2.4285957507961826e-08
205118876.4339139,3.3177155062476938e-06,-1.786090371033082e-06,-2.4346236271331124e-08
205162076.4339139,3.3276885059306445e-06,-1.7655687563763755e-06,-2.440623985787634e-08
205205276.4339139,3.337534253993921e-06,-1.74499710985465e-06,-2.4465966572347314e-08
205248476.4339139,3.347252565288525e-06,-1.7243762163683652e-06,-2.4525414732623518e-08
205291676.4339139,3.3568432593760785e-06,-1.7037068606253994e-06,-2.4584582669706336e-08
205334876.4339139,3.3663061605131882e-06,-1.6829898271153768e-06,-2.4643468727710554e-08
205378076.4339139,3.3756410976357446e-06,-1.6622259000842549e-06,-2.4702071263855337e-08
205421276.4339139,3.384847904343117e-06,-1.641415863509156e-06,-2.4760388648454585e-08
205464476.4339139,3.3939264188822595e-06,-1.6205605010734466e-06,-2.481841926490669e-08
205507676.4339139,3.4028764841317427e-06,-1.5996605961420664e-06,-2.487616150968369e-08
205550876.4339139,3.411697947585709e-06,-1.5787169317371032e-06,-2.4933613792319945e-08
205594076.4339139,3.4203906613377288e-06,-1.557730290513612e-06,-2.4990774535400086e-08
205637276.4339139,3.4289544820646146e-06,-1.536701454735684e-06,-2.5047642174546642e-08
205680476.4339139,3.4373892710101323e-06,-1.5156312062527536e-06,-2.5104215158406854e-08
205723676.4339139,3.445694893968669e-06,-1.4945203264761567e-06,-2.5160491948639214e-08
205766876.4339139,3.453871221268818e-06,-1.4733695963559256e-06,-2.52164710198993e-08
205810076.4339139,3.4619181277569083e-06,-1.4521797963578268e-06,-2.5272150859825124e-08
205853276.4339139,3.4698354927804763e-06,-1.4309517064406461e-06,-2.532752996902211e-08
205896476.4339139,3.4776232001716786e-06,-1.4096861060337077e-06,-2.538260686104738e-08
205939676.4339139,3.4852811382306444e-06,-1.3883837740146316e-06,-2.5437380062393675e-08
205982876.4339139,3.4928091997087902e-06,-1.3670454886873378e-06,-2.5491848112472822e-08
206026076.4339139,3.5002072817920643e-06,-1.3456720277602777e-06,-2.554600956359857e-08
206069276.4339139,3.5074752860841695e-06,-1.3242641683249096e-06,-2.5599862980969162e-08
206112476.4339139,3.5146131185897252e-06,-1.3028226868344056e-06,-2.565340694264934e-08
206155676.4339139,3.5216206896973934e-06,-1.2813483590825932e-06,-2.5706640039551923e-08
206198876.4339139,3.528497914162969e-06,-1.2598419601831336e-06,-2.575956087541899e-08
206242076.4339139,3.535244711092433e-06,-1.2383042645489261e-06,-2.5812168066802597e-08
206285276.4339139,3.5418610039249697e-06,-1.2167360458717503e-06,-2.586446024304512e-08
206328476.4339139,3.548346720415954e-06,-1.1951380771021299e-06,-2.591643604625909e-08
206371676.4339139,3.5547017926199207e-06,-1.173511130429436e-06,-2.5968094131306837e-08
206414876.4339139,3.5609261568734893e-06,-1.1518559772622077e-06,-2.6019433165779514e-08
206458076.4339139,3.5670197537782847e-06,-1.1301733882087043e-06,-2.6070451829975877e-08
206501276.4339139,3.5729825281838206e-06,-1.1084641330576811e-06,-2.6121148816880633e-08
206544476.4339139,3.5788144291703833e-06,-1.08672898075939e-06,-2.617152283214251e-08
206587676.4339139,3.5845154100318823e-06,-1.064968699406803e-06,-2.6221572594051887e-08
206630876.4339139,3.5900854282586934e-06,-1.0431840562170524e-06,-2.6271296833518063e-08
206674076.4339139,3.5955244455204964e-06,-1.0213758175130971e-06,-2.6320694294046296e-08
206717276.4339139,3.6008324276490927e-06,-9.995447487056033e-07,-2.6369763731714405e-08
206760476.4339139,3.6060093446212316e-06,-9.776916142750446e-07,-2.6418503915149137e-08
